window_path,source_file,start_seconds,end_seconds,target_speaking,notes,similarity,threshold,model_prediction,expected_decision,correct,inference_ms
recordings/windows/2s/lazy_mixed_v05/window_0000.wav,lazy_mixed_v05.wav,0.000,2.000,uncertain,,0.343445,0.15,accept,uncertain,,12.587
recordings/windows/2s/lazy_mixed_v05/window_0001.wav,lazy_mixed_v05.wav,2.000,4.000,yes,,0.554683,0.15,accept,accept,true,12.563
recordings/windows/2s/lazy_mixed_v05/window_0002.wav,lazy_mixed_v05.wav,4.000,6.000,yes,,0.564980,0.15,accept,accept,true,12.575
recordings/windows/2s/lazy_mixed_v05/window_0003.wav,lazy_mixed_v05.wav,6.000,8.000,yes,,0.394050,0.15,accept,accept,true,12.632
recordings/windows/2s/lazy_mixed_v05/window_0004.wav,lazy_mixed_v05.wav,8.000,10.000,yes,,0.552956,0.15,accept,accept,true,12.599
recordings/windows/2s/lazy_mixed_v05/window_0005.wav,lazy_mixed_v05.wav,10.000,12.000,yes,,0.478619,0.15,accept,accept,true,12.568
recordings/windows/2s/lazy_mixed_v05/window_0006.wav,lazy_mixed_v05.wav,12.000,14.000,yes,,0.632284,0.15,accept,accept,true,12.618
recordings/windows/2s/lazy_mixed_v05/window_0007.wav,lazy_mixed_v05.wav,14.000,16.000,yes,,0.631669,0.15,accept,accept,true,12.539
recordings/windows/2s/lazy_mixed_v05/window_0008.wav,lazy_mixed_v05.wav,16.000,18.000,yes,,0.492124,0.15,accept,accept,true,12.564
recordings/windows/2s/lazy_mixed_v05/window_0009.wav,lazy_mixed_v05.wav,18.000,20.000,yes,,0.542504,0.15,accept,accept,true,12.573
recordings/windows/2s/lazy_mixed_v05/window_0010.wav,lazy_mixed_v05.wav,20.000,22.000,yes,,0.593000,0.15,accept,accept,true,12.738
recordings/windows/2s/lazy_mixed_v05/window_0011.wav,lazy_mixed_v05.wav,22.000,24.000,yes,,0.516484,0.15,accept,accept,true,12.749
recordings/windows/2s/lazy_mixed_v05/window_0012.wav,lazy_mixed_v05.wav,24.000,26.000,yes,,0.524190,0.15,accept,accept,true,12.748
recordings/windows/2s/lazy_mixed_v05/window_0013.wav,lazy_mixed_v05.wav,26.000,28.000,yes,,0.512126,0.15,accept,accept,true,12.602
recordings/windows/2s/lazy_mixed_v05/window_0014.wav,lazy_mixed_v05.wav,28.000,30.000,yes,,0.478316,0.15,accept,accept,true,12.606
recordings/windows/2s/lazy_mixed_v05/window_0015.wav,lazy_mixed_v05.wav,30.000,32.000,yes,,0.568676,0.15,accept,accept,true,12.610
recordings/windows/2s/lazy_mixed_v05/window_0016.wav,lazy_mixed_v05.wav,32.000,34.000,yes,,0.606836,0.15,accept,accept,true,12.625
recordings/windows/2s/lazy_mixed_v05/window_0017.wav,lazy_mixed_v05.wav,34.000,36.000,yes,,0.403610,0.15,accept,accept,true,12.675
recordings/windows/2s/lazy_mixed_v05/window_0018.wav,lazy_mixed_v05.wav,36.000,38.000,yes,,0.578880,0.15,accept,accept,true,12.626
recordings/windows/2s/lazy_mixed_v05/window_0019.wav,lazy_mixed_v05.wav,38.000,40.000,yes,,0.514601,0.15,accept,accept,true,12.557
recordings/windows/2s/lazy_mixed_v10/window_0000.wav,lazy_mixed_v10.wav,0.000,2.000,yes,,0.323121,0.15,accept,accept,true,12.545
recordings/windows/2s/lazy_mixed_v10/window_0001.wav,lazy_mixed_v10.wav,2.000,4.000,yes,,0.324278,0.15,accept,accept,true,12.561
recordings/windows/2s/lazy_mixed_v10/window_0002.wav,lazy_mixed_v10.wav,4.000,6.000,yes,,0.403568,0.15,accept,accept,true,12.544
recordings/windows/2s/lazy_mixed_v10/window_0003.wav,lazy_mixed_v10.wav,6.000,8.000,yes,,0.386733,0.15,accept,accept,true,12.558
recordings/windows/2s/lazy_mixed_v10/window_0004.wav,lazy_mixed_v10.wav,8.000,10.000,yes,,0.510063,0.15,accept,accept,true,12.524
recordings/windows/2s/lazy_mixed_v10/window_0005.wav,lazy_mixed_v10.wav,10.000,12.000,yes,,0.445629,0.15,accept,accept,true,12.649
recordings/windows/2s/lazy_mixed_v10/window_0006.wav,lazy_mixed_v10.wav,12.000,14.000,yes,,0.556915,0.15,accept,accept,true,12.624
recordings/windows/2s/lazy_mixed_v10/window_0007.wav,lazy_mixed_v10.wav,14.000,16.000,yes,,0.264736,0.15,accept,accept,true,12.659
recordings/windows/2s/lazy_mixed_v10/window_0008.wav,lazy_mixed_v10.wav,16.000,18.000,yes,,0.332621,0.15,accept,accept,true,12.573
recordings/windows/2s/lazy_mixed_v10/window_0009.wav,lazy_mixed_v10.wav,18.000,20.000,yes,,0.485451,0.15,accept,accept,true,12.576
